kernel,op_token,has_native_cuda
aten_upsample_trilinear3d_cpu,upsample_trilinear3d,yes
aten_vector_norm_out_cpu,vector_norm,yes
aten_weight_norm_backward_cpu,weight_norm,yes
aten_weight_norm_cpu,weight_norm,yes
aten_weight_to_int4pack_cpu,weight_to_int4pack,yes
aten_where_cpu,where,yes
aten_xlog1py,xlog1py,yes
aten_xlogy,xlogy,yes
aten_xor_sum_cpu,xor_sum,yes
aten_zeros_cpu,zeros,yes
aten_zeta,zeta,no
